Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry,Location Returned,Location Returned Split,Postal Code
2015,8-May,5/8/2015,Kedah,Yan,Kg. Teroi,"Kg. Teroi, Yan, Kedah",1,5.8411421,100.4404232,POINT (100.4404232 5.8411421),"Kampong Teroi Bukit, Teroi, Yan, Kedah, 08800, Malaysia","['Kampong Teroi Bukit', 'Teroi', 'Yan', 'Kedah', '08800', 'Malaysia']",08800
2015,9-Oct,10/9/2015,Kedah,Yan,Kg. Teroi,"Kg. Teroi, Yan, Kedah",1,5.8411421,100.4404232,POINT (100.4404232 5.8411421),"Kampong Teroi Bukit, Teroi, Yan, Kedah, 08800, Malaysia","['Kampong Teroi Bukit', 'Teroi', 'Yan', 'Kedah', '08800', 'Malaysia']",08800
2015,10-Jan,1/10/2015,Kedah,Kota Setar,Jln. Pegawai,"Jln. Pegawai, Kota Setar, Kedah",1,6.1150178,100.3631346,POINT (100.3631346 6.1150178),"Persiaran Sultan Abdul Hamid, Kampung Seberang Perak, Alor Setar, Kota Setar, Kedah, 05000, Malaysia","['Persiaran Sultan Abdul Hamid', 'Kampung Seberang Perak', 'Alor Setar', 'Kota Setar', 'Kedah', '05000', 'Malaysia']",05000
2015,10-Jan,1/10/2015,Kedah,Kota Setar,Jln. Sultanah,"Jln. Sultanah, Kota Setar, Kedah",1,6.14268275,100.3656674,POINT (100.36566738886074 6.1426827500000005),"ADZ Enterprise, Jalan Utama 5, Kompleks Perniagaan Utama Jalan Sultanah, Kampung Lubuk Peringgi, Alor Setar, Kota Setar, Kedah, 05100, Malaysia","['ADZ Enterprise', 'Jalan Utama 5', 'Kompleks Perniagaan Utama Jalan Sultanah', 'Kampung Lubuk Peringgi', 'Alor Setar', 'Kota Setar', 'Kedah', '05100', 'Malaysia']",05100
2015,10-Jan,1/10/2015,Kedah,Kota Setar,Taman Golf,"Taman Golf, Kota Setar, Kedah",1,6.151708,100.3762317,POINT (100.3762317 6.151708),"Taman Golf, Pumpong, Kota Setar, Kedah, 05350, Malaysia","['Taman Golf', 'Pumpong', 'Kota Setar', 'Kedah', '05350', 'Malaysia']",05350
2015,10-Jan,1/10/2015,Kedah,Kota Setar,Taman Uda,"Taman Uda, Kota Setar, Kedah",1,6.1454932,100.3849278,POINT (100.3849278 6.1454932),"Lorong Uda 3, Taman Uda, Alor Setar, Kota Setar, Kedah, 05350, Malaysia","['Lorong Uda 3', 'Taman Uda', 'Alor Setar', 'Kota Setar', 'Kedah', '05350', 'Malaysia']",05350
2015,10-Jan,1/10/2015,Kedah,Bandar Baharu,Kg. Sg. Punti,"Kg. Sg. Punti, Bandar Baharu, Kedah",1,5.2451514,100.6018669,POINT (100.6018669 5.2451514),"Sungai Punti, Bandar Baharu, Kedah, 09800, Malaysia","['Sungai Punti', 'Bandar Baharu', 'Kedah', '09800', 'Malaysia']",09800
2015,10-Jul,7/10/2015,Kedah,Pendang,Sg. Pendang,"Sg. Pendang, Pendang, Kedah",1,6.0097128,100.4756952,POINT (100.4756952 6.0097128),"Kampung Tanjung Radin, Pendang, Kedah, 06700, Malaysia","['Kampung Tanjung Radin', 'Pendang', 'Kedah', '06700', 'Malaysia']",06700
2015,11-Jan,1/11/2015,Kedah,Kuala Muda,Pengkalan Lebai Man,"Pengkalan Lebai Man, Kuala Muda, Kedah",1,5.62793515,100.5051154,POINT (100.50511538086046 5.62793515),"Sekolah Menengah Kebangsaan Pengkalan Lebai Man, K609, Kampung Batu Dua, Bandar Perdana, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Sekolah Menengah Kebangsaan Pengkalan Lebai Man', 'K609', 'Kampung Batu Dua', 'Bandar Perdana', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,11-Jan,1/11/2015,Kedah,Kuala Muda,Taman Keladi,"Taman Keladi, Kuala Muda, Kedah",1,5.6153052,100.504523,POINT (100.504523 5.6153052),"Taman Keladi, Bandar Perdana, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Taman Keladi', 'Bandar Perdana', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,11-Jan,1/11/2015,Kedah,Kuala Muda,Taman Sejati,"Taman Sejati, Kuala Muda, Kedah",1,5.6419785,100.4999733,POINT (100.49997327039162 5.6419785000000005),"Taman Sejati, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Taman Sejati', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,11-Jan,1/11/2015,Kedah,Kuala Muda,Kg. Pulau Tengah,"Kg. Pulau Tengah, Kuala Muda, Kedah",1,5.5890204,100.487492,POINT (100.487492 5.5890204),"Kampung Pulau Tengah, Kampung Matang Gadong, Kuala Muda, Kedah, 08600, Malaysia","['Kampung Pulau Tengah', 'Kampung Matang Gadong', 'Kuala Muda', 'Kedah', '08600', 'Malaysia']",08600
2015,11-Jan,1/11/2015,Kedah,Kuala Muda,Kg. Kilang Makau,"Kg. Kilang Makau, Kuala Muda, Kedah",1,5.5894696,100.4845292,POINT (100.4845292 5.5894696),"Taman Kempas Fasa II, Kampung Kilang Makau, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Taman Kempas Fasa II', 'Kampung Kilang Makau', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,11-Jan,1/11/2015,Kedah,Kuala Muda,Puspakom Kuala Muda,"Puspakom Kuala Muda, Kuala Muda, Kedah",1,5.6234807,100.5371373,POINT (100.53713734782033 5.6234807),"PUSPAKOM, Jalan Sungai Petani - Baling, Taman Cindai Jaya, Bandar Mutiara, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['PUSPAKOM', 'Jalan Sungai Petani - Baling', 'Taman Cindai Jaya', 'Bandar Mutiara', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,11-Feb,2/11/2015,Kedah,Kulim,Taman Perak,"Taman Perak, Kulim, Kedah",1,5.4171052,100.562029,POINT (100.56202900870895 5.4171052),"Taman Perak, Kulim, Kedah, 09090, Malaysia","['Taman Perak', 'Kulim', 'Kedah', '09090', 'Malaysia']",09090
2015,11-Jun,6/11/2015,Kedah,Baling,Kg. Sg. Limau,"Kg. Sg. Limau, Baling, Kedah",1,5.6770168,100.8660088,POINT (100.8660088 5.6770168),"Kampung Sungai Limau, Baling, Kedah, 09200, Malaysia","['Kampung Sungai Limau', 'Baling', 'Kedah', '09200', 'Malaysia']",09200
2015,11-Jun,6/11/2015,Kedah,Baling,Kg. Lahar,"Kg. Lahar, Baling, Kedah",1,5.7155328,100.9094869,POINT (100.9094869 5.7155328),"Jalan Kampung Lahar / Tlk Sungai Durian, Kampung Lahar, Baling, Kedah, 09100, Malaysia","['Jalan Kampung Lahar / Tlk Sungai Durian', 'Kampung Lahar', 'Baling', 'Kedah', '09100', 'Malaysia']",09100
2015,11-Jun,6/11/2015,Kedah,Baling,Kg. Batu 60,"Kg. Batu 60, Baling, Kedah",1,5.5882775,100.7400262,POINT (100.7400262 5.5882775),"Kampung Batu 7, Baling, Kedah, 09310, Malaysia","['Kampung Batu 7', 'Baling', 'Kedah', '09310', 'Malaysia']",09310
2015,11-Aug,8/11/2015,Kedah,Kulim,Kg. Bukit Sarang Ayam,"Kg. Bukit Sarang Ayam, Kulim, Kedah",1,5.456389,100.5707418,POINT (100.5707418 5.456389),"Kampung Bukit Sarang Ayam, Kulim, Kedah, 09600, Malaysia","['Kampung Bukit Sarang Ayam', 'Kulim', 'Kedah', '09600', 'Malaysia']",09600
2015,11-Oct,10/11/2015,Kedah,Baling,Kg. Pantai Weng,"Kg. Pantai Weng, Baling, Kedah",1,5.6655608,100.9074429,POINT (100.9074429 5.6655608),"Jalan Kampung Pantai Baling, Kampung Tok Weng, Baling, Kedah, 09100, Malaysia","['Jalan Kampung Pantai Baling', 'Kampung Tok Weng', 'Baling', 'Kedah', '09100', 'Malaysia']",09100
2015,14/11,14/11/2015,Kedah,Kulim,Kg. Terap,"Kg. Terap, Kulim, Kedah",1,5.2861845,100.6272266,POINT (100.6272266 5.2861845),"Pejabat Penghulu Mukim Terap Daerah Kulim, Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu, Kampung Batu 10, Terap, Kulim, Kedah, 09800, Malaysia","['Pejabat Penghulu Mukim Terap Daerah Kulim', 'Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu', 'Kampung Batu 10', 'Terap', 'Kulim', 'Kedah', '09800', 'Malaysia']",09800
2015,14/11,14/11/2015,Kedah,Kulim,Jln. Terap Batu 10,"Jln. Terap Batu 10, Kulim, Kedah",1,5.2773791,100.6190667,POINT (100.6190667 5.2773791),"Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu, Kampung Batu 10, Terap, Kulim, Kedah, 09800, Malaysia","['Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu', 'Kampung Batu 10', 'Terap', 'Kulim', 'Kedah', '09800', 'Malaysia']",09800
2015,16/11,16/11/2015,Kedah,Baling,Batu 60,"Batu 60, Baling, Kedah",1,5.5882775,100.7400262,POINT (100.7400262 5.5882775),"Kampung Batu 7, Baling, Kedah, 09310, Malaysia","['Kampung Batu 7', 'Baling', 'Kedah', '09310', 'Malaysia']",09310
2015,17/11,17/11/2015,Kedah,Kuala Muda,Kg. Bakar Kapor,"Kg. Bakar Kapor, Kuala Muda, Kedah",1,5.6437996,100.4789829,POINT (100.4789829 5.6437996),"Lorong Halba, Bakar Kapor, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Lorong Halba', 'Bakar Kapor', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,17/11,17/11/2015,Kedah,Kuala Muda,Kg. Raja,"Kg. Raja, Kuala Muda, Kedah",1,5.6332658,100.5006467,POINT (100.5006467 5.6332658),"Taman Beringin Indah, Kampung Raja, Kuala Muda, Kedah, 08000, Malaysia","['Taman Beringin Indah', 'Kampung Raja', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Taman Nuri,"Taman Nuri, Kuala Muda, Kedah",1,5.6522503,100.4980373,POINT (100.4980373 5.6522503),"Jalan Nuri, Taman Nuri, Lagenda Heights, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Jalan Nuri', 'Taman Nuri', 'Lagenda Heights', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Taman Berlian,"Taman Berlian, Kuala Muda, Kedah",1,5.6449479,100.5073699,POINT (100.5073699 5.6449479),"Lorong 4, Taman Berlian, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Lorong 4', 'Taman Berlian', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Taman Teratai Sg. Layar,"Taman Teratai Sg. Layar, Kuala Muda, Kedah",1,5.6568519,100.4784036,POINT (100.4784036 5.6568519),"Taman Teratai Indah, Sungai Layar, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Taman Teratai Indah', 'Sungai Layar', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Taman Desa Jaya,"Taman Desa Jaya, Kuala Muda, Kedah",1,5.6688362,100.4977008,POINT (100.4977008 5.6688362),"Taman Desa Jaya, Lagenda Heights, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Taman Desa Jaya', 'Lagenda Heights', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Jln. Kg. Raja,"Jln. Kg. Raja, Kuala Muda, Kedah",1,5.6342992,100.5060757,POINT (100.5060757 5.6342992),"Adilcap GSM Tapak Ujian JPJ, Jalan Kuala Ketil, Taman Kenari Merdu, Kampung Raja, Kuala Muda, Kedah, 08000, Malaysia","['Adilcap GSM Tapak Ujian JPJ', 'Jalan Kuala Ketil', 'Taman Kenari Merdu', 'Kampung Raja', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Kg. Raja,"Kg. Raja, Kuala Muda, Kedah",1,5.6332658,100.5006467,POINT (100.5006467 5.6332658),"Taman Beringin Indah, Kampung Raja, Kuala Muda, Kedah, 08000, Malaysia","['Taman Beringin Indah', 'Kampung Raja', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Kg. Hj. Wahab,"Kg. Hj. Wahab, Kuala Muda, Kedah",1,5.6052686,100.4663408,POINT (100.4663408 5.6052686),"Taman Desa Meranti, Kampung Padang Temusu, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Taman Desa Meranti', 'Kampung Padang Temusu', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Jln. Padang Temusu,"Jln. Padang Temusu, Kuala Muda, Kedah",1,5.6052618,100.4719505,POINT (100.4719505 5.6052618),"Jalan Bakar Arang, Taman Desa Meranti, Kampung Padang Temusu, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Jalan Bakar Arang', 'Taman Desa Meranti', 'Kampung Padang Temusu', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,22/11,22/11/2015,Kedah,Kuala Muda,Taman Berlian,"Taman Berlian, Kuala Muda, Kedah",1,5.6449479,100.5073699,POINT (100.5073699 5.6449479),"Lorong 4, Taman Berlian, Sungai Petani, Kuala Muda, Kedah, 08000, Malaysia","['Lorong 4', 'Taman Berlian', 'Sungai Petani', 'Kuala Muda', 'Kedah', '08000', 'Malaysia']",08000
2015,24/11,24/11/2015,Kedah,Bandar Baharu,Kg. Besar,"Kg. Besar, Bandar Baharu, Kedah",1,5.1686431,100.5340973,POINT (100.5340973 5.1686431),"Jalan Kampung Besar, Kampung Sungai Buaya, Seberang Perai Selatan, Seberang Perai, Pulau Pinang, 14300, Malaysia","['Jalan Kampung Besar', 'Kampung Sungai Buaya', 'Seberang Perai Selatan', 'Seberang Perai', 'Pulau Pinang', '14300', 'Malaysia']",14300
2015,12-Nov,11/12/2015,Kedah,Bandar Baharu,Kg. Sg. Kechil Hilir,"Kg. Sg. Kechil Hilir, Bandar Baharu, Kedah",1,5.17111,100.550627,POINT (100.550627 5.17111),"Sungai Kechil Hilir, Bandar Baharu, Kedah, 34950, Malaysia","['Sungai Kechil Hilir', 'Bandar Baharu', 'Kedah', '34950', 'Malaysia']",34950
2015,13/12,13/12/2015,Kedah,Bandar Baharu,Kg. Tepus,"Kg. Tepus, Bandar Baharu, Kedah",1,5.1230899,100.5286262,POINT (100.5286262 5.1230899),"Kampung Sungai Tepus, Bandar Baharu, Kedah, 34950, Malaysia","['Kampung Sungai Tepus', 'Bandar Baharu', 'Kedah', '34950', 'Malaysia']",34950
2015,13/12,13/12/2015,Kedah,Bandar Baharu,Sg. Kechil Hilir,"Sg. Kechil Hilir, Bandar Baharu, Kedah",1,5.17111,100.550627,POINT (100.550627 5.17111),"Sungai Kechil Hilir, Bandar Baharu, Kedah, 34950, Malaysia","['Sungai Kechil Hilir', 'Bandar Baharu', 'Kedah', '34950', 'Malaysia']",34950
2015,3-Apr,4/3/2015,Kuala Lumpur,Kuala Lumpur,Flat Taman Desa,"Flat Taman Desa, Kuala Lumpur, Kuala Lumpur",1,3.1064431,101.6837787,POINT (101.6837787 3.1064431),"Flat Sri Labuan, Jalan Desa Utama, Taman Danau Desa, Taman Desa, Kuala Lumpur, 58100, Malaysia","['Flat Sri Labuan', 'Jalan Desa Utama', 'Taman Danau Desa', 'Taman Desa', 'Kuala Lumpur', '58100', 'Malaysia']",58100
2015,8-Nov,11/8/2015,Kuala Lumpur,Kuala Lumpur,Kampung Pandan,"Kampung Pandan, Kuala Lumpur, Kuala Lumpur",1,3.140837,101.7347269,POINT (101.7347269 3.140837),"Taman Maluri, Kampung Pandan, Kuala Lumpur, 50988, Malaysia","['Taman Maluri', 'Kampung Pandan', 'Kuala Lumpur', '50988', 'Malaysia']",50988
2015,13/8,13/8/2015,Kuala Lumpur,Kuala Lumpur,Segambut Bahagia,"Segambut Bahagia, Kuala Lumpur, Kuala Lumpur",1,3.1857313,101.6581878,POINT (101.6581878 3.1857313),"Kg Segambut Bahagia (Barat), Jalan Segambut, Segambut, Kuala Lumpur, 51200, Malaysia","['Kg Segambut Bahagia (Barat)', 'Jalan Segambut', 'Segambut', 'Kuala Lumpur', '51200', 'Malaysia']",51200
